"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2022","118.25","117.71","119.57","114.90","150.05K","0.11%"
"06/10/2022","118.12","119.07","120.15","115.84","133.85K","-0.81%"
"06/09/2022","119.09","120.11","120.40","118.52","122.09K","-0.58%"
"06/08/2022","119.78","117.70","120.75","117.02","131.93K","2.29%"
"06/07/2022","117.10","116.66","118.00","115.04","140.80K","0.90%"
"06/06/2022","116.06","118.17","118.28","115.15","77.61K","-0.15%"
"06/03/2022","116.23","114.90","117.77","112.73","74.48K","1.69%"
"06/02/2022","114.30","112.27","115.10","108.94","114.86K","1.40%"
"06/01/2022","112.72","112.74","115.00","111.86","91.07K","0.72%"
"05/31/2022","111.91","112.10","117.07","111.50","113.51K","-4.85%"
"05/30/2022","117.61","115.58","117.79","115.39","","1.73%"
"05/29/2022","115.61","115.30","115.81","115.20","","3.01%"
"05/27/2022","112.23","111.25","112.42","110.06","57.72K","0.88%"
"05/26/2022","111.25","108.05","111.88","107.60","78.22K","3.25%"
"05/25/2022","107.75","107.68","108.97","106.71","56.92K","0.51%"
"05/24/2022","107.20","107.68","108.76","105.94","65.22K","-0.32%"
"05/23/2022","107.54","107.34","108.76","106.32","70.51K","-2.48%"
"05/20/2022","110.28","109.26","111.04","108.13","229.93K","0.35%"
"05/19/2022","109.89","106.96","110.16","103.24","340.08K","2.66%"
"05/18/2022","107.04","110.77","112.39","106.06","311.84K","-2.36%"
"05/17/2022","109.63","111.61","113.20","108.96","204.75K","-1.96%"
"05/16/2022","111.82","109.00","112.47","106.27","166.04K","2.94%"
"05/13/2022","108.63","104.91","108.77","104.64","134.31K","4.05%"
"05/12/2022","104.40","103.94","105.55","101.11","179.61K","0.36%"
"05/11/2022","104.03","97.74","104.74","96.93","179.72K","5.67%"
"05/10/2022","98.45","100.96","102.78","97.61","156.44K","-3.26%"
"05/09/2022","101.77","108.97","109.00","100.81","148.44K","-6.06%"
"05/06/2022","108.33","107.07","109.53","105.72","119.33K","1.49%"
"05/05/2022","106.74","106.07","109.77","104.95","97.44K","0.49%"
"05/04/2022","106.22","101.99","107.00","101.41","92.05K","5.27%"
"05/03/2022","100.90","103.19","104.06","100.58","97.51K","-2.44%"
"05/02/2022","103.42","102.15","104.19","98.87","89.43K","0.47%"
"04/29/2022","102.94","103.12","105.99","102.14","98.35K","-0.51%"
"04/28/2022","103.47","100.59","103.77","98.75","104.93K","2.77%"
"04/27/2022","100.68","100.76","101.68","98.65","76.99K","0.27%"
"04/26/2022","100.41","97.77","101.50","96.37","100.12K","2.81%"
"04/25/2022","97.67","100.38","100.48","94.47","87.65K","-3.34%"
"04/22/2022","101.05","102.01","103.34","100.08","60.24K","-1.86%"
"04/21/2022","102.96","101.66","104.47","101.25","74.66K","0.75%"
"04/20/2022","102.19","102.38","103.96","99.88","299.03K","0.14%"
"04/19/2022","102.05","107.06","108.37","101.51","339.81K","-5.17%"
"04/18/2022","107.61","106.46","109.20","105.43","202.72K","1.16%"
"04/14/2022","106.38","103.79","107.00","101.69","159.77K","2.50%"
"04/13/2022","103.79","100.35","104.00","99.51","186.11K","3.63%"
"04/12/2022","100.15","94.84","100.82","94.52","168.89K","6.63%"
"04/11/2022","93.92","97.84","97.95","92.60","156.57K","-3.90%"
"04/08/2022","97.73","96.31","98.12","94.72","135.35K","2.32%"
"04/07/2022","95.51","96.29","97.95","93.21","168.76K","0.10%"
"04/06/2022","95.41","99.95","102.63","94.93","159.99K","-5.23%"
"04/05/2022","100.68","102.16","104.07","98.63","107.31K","-1.14%"
"04/04/2022","101.84","97.68","102.44","96.83","123.55K","4.02%"
"04/01/2022","97.90","99.77","100.00","96.22","132.55K","-0.63%"
"03/31/2022","98.52","105.30","105.64","97.88","185.64K","-6.78%"
"03/30/2022","105.68","103.04","106.44","102.41","83.36K","3.56%"
"03/29/2022","102.05","101.29","105.45","96.52","119.63K","-1.32%"
"03/28/2022","103.42","110.22","110.22","100.43","125.75K","-6.88%"
"03/25/2022","111.06","108.29","111.26","105.86","103.66K","1.49%"
"03/24/2022","109.43","111.41","113.51","107.79","106.02K","-2.29%"
"03/23/2022","111.99","105.84","112.34","105.69","120.34K","2.49%"
"03/22/2022","109.27","110.91","113.35","107.10","318.63K","-0.64%"
"03/21/2022","109.97","103.62","111.08","102.47","279.31K","6.67%"
"03/18/2022","103.09","102.23","104.67","100.96","207.44K","1.42%"
"03/17/2022","101.65","94.08","102.69","93.41","221.54K","8.61%"
"03/16/2022","93.59","93.70","97.93","92.68","163.42K","-1.27%"
"03/15/2022","94.79","100.55","100.92","92.20","205.70K","-6.32%"
"03/14/2022","101.18","106.64","106.65","97.89","162.18K","-4.82%"
"03/11/2022","106.30","103.00","107.17","101.27","166.35K","3.21%"
"03/10/2022","102.99","106.59","110.91","102.38","203.84K","-1.96%"
"03/09/2022","105.05","120.66","122.73","99.55","249.98K","-12.20%"
"03/08/2022","119.65","116.98","124.98","113.66","200.16K","3.32%"
"03/07/2022","115.80","116.03","126.42","111.87","202.56K","3.29%"
"03/04/2022","112.11","105.04","112.54","104.36","167.99K","7.17%"
"03/03/2022","104.61","107.27","112.65","103.14","190.66K","-2.29%"
"03/02/2022","107.06","103.43","108.91","101.86","219.17K","6.84%"
"03/01/2022","100.21","93.88","103.06","93.21","285.55K","7.18%"
"02/28/2022","93.50","92.97","96.92","92.42","176.43K","4.02%"
"02/25/2022","89.89","91.48","93.73","88.49","160.46K","-1.15%"
"02/24/2022","90.94","91.08","98.44","89.65","289.12K","0.28%"
"02/23/2022","90.69","90.31","92.36","89.34","150.13K","-1.33%"
"02/22/2022","91.91","91.32","94.95","89.06","789.04K","-0.80%"
"02/21/2022","92.65","91.62","93.91","89.08","","1.12%"
"02/20/2022","91.62","91.22","91.74","91.08","","1.56%"
"02/18/2022","90.21","90.06","91.07","87.46","566.36K","0.19%"
"02/17/2022","90.04","89.25","91.51","88.83","442.04K","-1.95%"
"02/16/2022","91.83","90.31","93.07","88.20","351.33K","1.80%"
"02/15/2022","90.21","92.84","93.16","88.94","258.03K","-3.52%"
"02/14/2022","93.50","92.06","93.83","90.45","213.15K","2.28%"
"02/11/2022","91.42","88.56","92.74","87.79","310.81K","3.23%"
"02/10/2022","88.56","88.84","90.26","87.87","255.08K","0.03%"
"02/09/2022","88.53","88.40","89.17","87.15","255.17K","0.72%"
"02/08/2022","87.90","89.98","90.07","87.07","188.54K","-2.08%"
"02/07/2022","89.77","89.88","90.97","89.08","247.67K","-0.62%"
"02/04/2022","90.33","88.33","90.98","88.18","175.47K","2.13%"
"02/03/2022","88.45","86.40","88.59","85.24","220.87K","2.03%"
"02/02/2022","86.69","86.64","87.93","85.56","189.90K","0.27%"
"02/01/2022","86.46","86.45","87.12","84.92","151.60K","-0.03%"
"01/31/2022","86.49","85.92","86.68","84.96","144.70K","1.24%"
"01/28/2022","85.43","86.00","87.36","85.06","144.85K","0.16%"
"01/27/2022","85.29","85.71","87.08","84.90","153.94K","-0.78%"
"01/26/2022","85.96","84.10","86.51","83.84","175.93K","1.88%"
"01/25/2022","84.37","83.32","84.54","82.14","223.59K","2.38%"
"01/24/2022","82.41","83.84","85.10","81.06","153.83K","-2.06%"
"01/21/2022","84.14","83.65","84.53","81.96","159.57K","-1.65%"
"01/20/2022","85.55","85.06","87.10","84.20","532.20K","-0.29%"
"01/19/2022","85.80","85.89","86.79","84.99","511.05K","1.14%"
"01/18/2022","84.83","83.77","85.98","82.93","494.00K","1.36%"
"01/17/2022","83.69","83.84","83.95","82.94","","-0.17%"
"01/16/2022","83.83","83.78","84.09","83.68","","0.64%"
"01/14/2022","83.30","81.21","83.79","81.10","323.11K","2.06%"
"01/13/2022","81.62","82.12","82.29","80.91","289.31K","-0.49%"
"01/12/2022","82.02","80.71","82.41","80.55","303.16K","1.67%"
"01/11/2022","80.67","77.87","80.95","77.83","270.56K","3.82%"
"01/10/2022","77.70","78.51","78.92","77.34","210.84K","-0.94%"
"01/07/2022","78.44","79.00","79.82","78.07","229.28K","-0.56%"
"01/06/2022","78.88","76.79","79.56","76.28","244.00K","1.82%"
"01/05/2022","77.47","76.88","78.16","76.25","197.97K","0.95%"
"01/04/2022","76.74","75.80","77.40","75.47","156.45K","1.17%"
"01/03/2022","75.85","75.53","76.18","74.01","112.23K","1.30%"
"12/31/2021","74.88","76.12","76.68","74.63","63.14K","-2.26%"
"12/30/2021","76.61","76.20","77.06","75.42","61.02K","0.56%"
"12/29/2021","76.18","75.71","76.99","75.01","78.61K","0.77%"
"12/28/2021","75.60","75.58","76.50","75.12","66.33K","0.56%"
"12/27/2021","75.18","73.00","75.68","72.22","76.67K","2.40%"
"12/23/2021","73.42","72.59","73.60","71.84","95.32K","1.51%"
"12/22/2021","72.33","70.97","72.71","70.48","94.30K","2.13%"
"12/21/2021","70.82","68.94","71.21","68.27","99.77K","3.22%"
"12/20/2021","68.61","69.88","69.98","66.12","492.22K","-2.98%"
"12/17/2021","70.72","71.79","72.05","69.70","351.30K","-1.98%"
"12/16/2021","72.15","71.28","72.74","70.87","329.08K","2.11%"
"12/15/2021","70.66","70.12","71.45","69.21","191.20K","0.20%"
"12/14/2021","70.52","70.91","71.79","69.32","177.57K","-0.76%"
"12/13/2021","71.06","71.84","72.82","70.54","209.97K","-0.59%"
"12/10/2021","71.48","70.52","72.15","70.19","185.50K","0.97%"
"12/09/2021","70.79","72.36","73.13","70.23","144.30K","-1.93%"
"12/08/2021","72.18","71.62","72.75","70.74","162.64K","0.47%"
"12/07/2021","71.84","69.28","72.72","69.28","176.32K","3.67%"
"12/06/2021","69.30","66.85","69.95","66.62","109.15K","4.84%"
"12/03/2021","66.10","67.17","68.96","65.45","136.24K","-0.26%"
"12/02/2021","66.27","65.38","67.23","62.26","188.62K","1.38%"
"12/01/2021","65.37","66.68","69.18","64.62","164.81K","-0.73%"
"11/30/2021","65.85","69.69","70.86","64.16","184.46K","-5.42%"
"11/29/2021","69.62","68.93","72.48","68.40","169.53K","2.62%"
"11/26/2021","67.84","77.75","78.07","67.14","239.79K","-12.36%"
"11/25/2021","77.41","78.38","78.65","77.28","","-0.51%"
"11/24/2021","77.81","77.90","78.59","77.41","83.84K","-0.17%"
"11/23/2021","77.94","75.81","78.23","74.77","171.03K","2.39%"
"11/22/2021","76.12","75.07","76.47","74.06","112.64K","0.24%"
"11/19/2021","75.94","78.29","79.33","75.09","623.45K","-3.15%"
"11/18/2021","78.41","77.49","78.80","76.44","426.77K","1.11%"
"11/17/2021","77.55","79.60","79.71","76.93","504.94K","-2.75%"
"11/16/2021","79.74","79.80","80.68","78.97","208.60K","-0.01%"
"11/15/2021","79.75","79.59","80.04","78.28","185.74K","0.08%"
"11/12/2021","79.69","80.08","80.36","78.67","185.20K","-0.91%"
"11/11/2021","80.42","80.10","80.95","78.98","209.70K","0.45%"
"11/10/2021","80.06","82.89","83.30","79.53","242.72K","-3.03%"
"11/09/2021","82.56","80.87","82.99","80.56","249.60K","2.25%"
"11/08/2021","80.74","80.00","81.42","79.95","165.37K","0.76%"
"11/05/2021","80.13","78.32","80.51","77.78","184.24K","3.13%"
"11/04/2021","77.70","78.93","82.05","77.23","249.20K","-2.35%"
"11/03/2021","79.57","81.70","81.70","78.52","189.15K","-3.48%"
"11/02/2021","82.44","82.30","82.86","81.49","147.57K","-0.01%"
"11/01/2021","82.45","81.58","83.07","81.05","150.56K","0.82%"
"10/29/2021","81.78","81.71","81.96","80.14","173.71K","0.39%"
"10/28/2021","81.46","81.05","81.85","79.37","155.20K","-0.02%"
"10/27/2021","81.48","83.11","83.21","80.84","142.73K","-2.26%"
"10/26/2021","83.36","82.61","83.51","81.97","171.17K","0.91%"
"10/25/2021","82.61","82.64","83.83","82.24","255.20K","0.13%"
"10/22/2021","82.50","81.43","82.92","80.62","173.25K","1.40%"
"10/21/2021","81.36","82.45","82.71","79.79","169.88K","-2.47%"
"10/20/2021","83.42","82.46","83.65","80.78","530.69K","1.19%"
"10/19/2021","82.44","81.58","82.99","81.08","531.47K","0.92%"
"10/18/2021","81.69","82.00","83.18","81.21","501.07K","-0.05%"
"10/15/2021","81.73","80.93","82.00","80.86","284.73K","1.19%"
"10/14/2021","80.77","79.94","81.14","79.79","300.57K","1.19%"
"10/13/2021","79.82","79.83","80.36","78.78","304.96K","-0.13%"
